?x	?label
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid10	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid100	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid105	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid107	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid114	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid119	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid124	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid135	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid184	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid188	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid226	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid23	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid232	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid244	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid248	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid252	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid256	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid260	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid264	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid268	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid27	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid32	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid37	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid41	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid45	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid487	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid520	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid53	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid541	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid569	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid59	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid65	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid655	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid666	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid71	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid77	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid82	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid88	
_:B8562ea9aX2D60bbX2D4fceX2Da3beX2D41f44896c664genid94	
<http://purl.obolibrary.org/obo/EMRO_0000000>	"emotion process"
<http://purl.obolibrary.org/obo/EMRO_0000001>	"phenomenal cognitive experience"
<http://purl.obolibrary.org/obo/EMRO_0000002>	"emotional experience"
<http://purl.obolibrary.org/obo/EMRO_0000005>	"sensory experience"
<http://purl.obolibrary.org/obo/GO_0002437>	"inflammatory response to antigenic stimulus"
<http://purl.obolibrary.org/obo/GO_0002438>	"acute inflammatory response to antigenic stimulus"
<http://purl.obolibrary.org/obo/GO_0002524>	"hypersensitivity"
<http://purl.obolibrary.org/obo/GO_0006955>	"immune response"
<http://purl.obolibrary.org/obo/GO_0019233>	"sensory perception of pain"
<http://purl.obolibrary.org/obo/IDO_0000504>	"infectious disorder"
<http://purl.obolibrary.org/obo/IDO_0000586>	"infection"
